com_x,com_y,com_z,lf_x,lf_y,lf_z,rf_x,rf_y,rf_z,x,y,Ly,Lx
0.11146251053805,-0.0623297710622977,0.55,0.103288179607434,0.0376702289377023,0.0192,0.115757318589304,-0.120630416125686,0,-0.00429480805125399,0.0583006450633884,0.354176418760085,0.252792401896809
0.11233265579587,-0.0628906173936298,0.55,0.105754139164787,0.0371093826063701,0.0194880000000001,0.115757318589304,-0.120630416125686,0,-0.00342466279343351,0.0577397987320563,0.350769277297242,0.201575652021496
0.113195333932422,-0.0633255680951794,0.55,0.108238594000575,0.0366744319048206,0.0197120000000001,0.115757318589304,-0.120630416125686,0,-0.00256198465688191,0.0573048480305068,0.348126951785328,0.150798416904068
0.114052425927716,-0.0636355715317433,0.55,0.110737024683098,0.0363644284682567,0.019872,0.115757318589304,-0.120630416125686,0,-0.00170489266158735,0.0569948445939428,0.346243680908203,0.100349982061031
0.114905800581765,-0.0638213036335938,0.55,0.113244822398426,0.0361786963664062,0.019968,0.115757318589304,-0.120630416125686,0,-0.000851518007538452,0.0568091124920923,0.345115358389461,0.0501203499237128
0.115757318589304,-0.0638831693702744,0.55,0.115757318589304,0.0361168306297255,0.02,0.115757318589304,-0.120630416125686,0,-1.38777878078145e-17,0.0567472467554117,0.344739524039126,0
0.116608836596842,-0.0638213036335938,0.55,0.118269814780181,0.0361786963664062,0.019968,0.115757318589304,-0.120630416125686,0,0.000851518007538445,0.0568091124920923,0.345115358389461,-0.0501203499237133
0.117462211250891,-0.0636355715317433,0.55,0.120777612495509,0.0363644284682567,0.019872,0.115757318589304,-0.120630416125686,0,0.00170489266158734,0.0569948445939429,0.346243680908203,-0.100349982061032
0.118319303246185,-0.0633255680951794,0.55,0.123276043178032,0.0366744319048205,0.0197120000000001,0.115757318589304,-0.120630416125686,0,0.00256198465688189,0.0573048480305067,0.348126951785328,-0.150798416904069
0.119181981382737,-0.0628906173936298,0.55,0.12576049801382,0.0371093826063701,0.0194880000000001,0.115757318589304,-0.120630416125686,0,0.0034246627934335,0.0577397987320563,0.350769277297242,-0.201575652021496
0.120052126640558,-0.0623297710622977,0.55,0.128226457571173,0.0376702289377022,0.0192,0.115757318589304,-0.120630416125686,0,0.00429480805125398,0.0583006450633884,0.354176418760085,-0.25279240189681
0.12093163628094,-0.0616418062340507,0.55,0.130669521161402,0.0383581937659492,0.018848,0.115757318589304,-0.120630416125686,0,0.00517431769163694,0.0589886098916354,0.358355805091685,-0.304560339329751
0.121822427983242,-0.0608252228730865,0.55,0.133085435830742,0.0391747771269135,0.018432,0.115757318589304,-0.120630416125686,0,0.00606510939393885,0.0598051932525997,0.363316549009543,-0.356992338927241
0.122726444026183,-0.0598782405042604,0.55,0.135470124894327,0.0401217594957396,0.017952,0.115757318589304,-0.120630416125686,0,0.00696912543687961,0.0607521756214258,0.369069466900161,-0.410202723214735
0.123645655522783,-0.0587987943309445,0.55,0.137819715925218,0.0412012056690554,0.017408,0.115757318589304,-0.120630416125686,0,0.00788833693347932,0.0618316217947416,0.375627102403055,-0.464307511904593
0.124582066718169,-0.0575845307329534,0.55,0.140130568113999,0.0424154692670466,0.0168,0.115757318589304,-0.120630416125686,0,0.00882474812886538,0.0630458853927328,0.383003753760851,-0.519424674865018
0.125537719359624,-0.0562328021347195,0.55,0.142399298917274,0.0437671978652805,0.016128,0.115757318589304,-0.120630416125686,0,0.00978040077032077,0.0643976139909667,0.391215504995122,-0.575674389341081
0.126514697148405,-0.0547406612325302,0.55,0.144622809916684,0.0452593387674698,0.015392,0.115757318589304,-0.120630416125686,0,0.0107573785591017,0.0658897548931559,0.400280260975922,-0.633179301988726
0.127515130283035,-0.0531048545682384,0.55,0.146798311813656,0.0468951454317615,0.014592,0.115757318589304,-0.120630416125686,0,0.0117578116937315,0.0675255615574477,0.410217786461495,-0.692064796293037
0.128541200103981,-0.0513218154354347,0.55,0.148923348489091,0.0486781845645652,0.013728,0.115757318589304,-0.120630416125686,0,0.0127838815146774,0.0693086006902514,0.421049749193277,-0.75245926595391
0.12959514384984,-0.0493876561026154,0.55,0.150995820061481,0.0506123438973845,0.0128,0.115757318589304,-0.120630416125686,0,0.0138378252605364,0.0712427600230707,0.432799767140154,-0.814494394835171
0.130679259535405,-0.0472981593363878,0.55,0.153014004881608,0.0527018406636121,0.011808,0.115757318589304,-0.120630416125686,0,0.0149219409461017,0.0733322567892983,0.445493459994987,-0.878305444087545
0.131795910962248,-0.045048769206231,0.55,0.154976580406907,0.0549512307937689,0.010752,0.115757318589304,-0.120630416125686,0,0.0160385923729449,0.0755816469194551,0.45915850503569,-0.944031547071535
0.132947532872743,-0.0426345811507629,0.55,0.156882642903799,0.057365418849237,0.00963199999999997,0.115757318589304,-0.120630416125686,0,0.0171902142834399,0.0779958349749232,0.473824697472659,-1.01181601272327
0.134136636258769,-0.0400503312838543,0.55,0.158731725931842,0.0599496687161456,0.00844800000000001,0.115757318589304,-0.120630416125686,0,0.0183793176694654,0.0805800848418318,0.489524015414128,-1.08180663802474
