time_step,com_x,com_y,com_z,lf_x,lf_y,lf_z,rf_x,rf_y,rf_z
0.32,0.0,0.04019480674740029,0.45,0.0,0.1,0.0,-0.004478556679816846,-0.05980519325259973,0.018432000000000004
0.33,0.0,0.03924782437857417,0.45,0.0,0.1,0.0,-0.004654379436039465,-0.06075217562142585,0.017952000000000023
0.34,0.0,0.03816837820525831,0.45,0.0,0.1,0.0,-0.004824230084127966,-0.06183162179474172,0.01740799999999998
0.35000000000000003,0.0,0.03695411460726718,0.45,0.0,0.1,0.0,-0.004987438301171725,-0.06304588539273286,0.01679999999999998
0.36,0.0,0.03560238600903326,0.45,0.0,0.1,0.0,-0.005143359978900811,-0.06439761399096677,0.016127999999999976
0.37,0.0,0.034110245106843975,0.45,0.0,0.1,0.0,-0.005291379765687066,-0.06588975489315606,0.015391999999999961
0.38,0.0,0.0324744384425522,0.45,0.0,0.1,0.0,-0.005430913495055853,-0.06752556155744784,0.014591999999999994
0.39,0.0,0.03069139930974843,0.45,0.0,0.1,0.0,-0.00556141049112425,-0.0693086006902516,0.013727999999999962
0.4,0.0,0.02875723997692918,0.45,0.0,0.1,0.0,-0.005682355741867183,-0.07124276002307085,0.012799999999999978
0.41000000000000003,0.0,0.026667743210701603,0.45,0.0,0.1,0.0,-0.005793271931634598,-0.07333225678929843,0.011807999999999985
0.42,0.0,0.024418353080544686,0.45,0.0,0.1,0.0,-0.005893721324898269,-0.07558164691945535,0.010751999999999984
0.43,0.0,0.022004165025076627,0.45,0.0,0.1,0.0,-0.005983307493793948,-0.0779958349749234,0.009631999999999974
0.44,0.0,0.019419915158168086,0.45,0.0,0.1,0.0,-0.006061676882641031,-0.08058008484183195,0.008447999999999956
0.45,0.0,0.016659968791585586,0.45,0.0,0.1,0.0,-0.006128520203265307,-0.08334003120841445,0.007199999999999984
0.46,0.0,0.013718308149140088,0.45,0.0,0.1,0.0,-0.006183573655618079,-0.08628169185085995,0.005887999999999949
0.47000000000000003,0.0,0.010588519245550362,0.45,0.0,0.1,0.0,-0.0062266199688744426,-0.08941148075444967,0.0045119999999999605
0.48,0.0,0.007263777901416052,0.45,0.0,0.1,0.0,-0.006257489258901964,-0.09273622209858398,0.0030719999999999636
0.49,0.0,0.003736834863802732,0.45,0.0,0.1,0.0,-0.006276059698715741,-0.0962631651361973,0.0015679999999999583
